qna_id;question;answer;tags;query_1;query_2;query_3;query_4;query_5;query_6;query_7;query_8;query_9;query_10;query_11;query_12;query_13;query_14;query_15;query_16;query_17;query_18;query_19;query_20
42;Muaf olduğum dersler not ortalamamı (AGNO) etkiler mi?;Başarı notları (G) ile takdir edilen dersler ile muaf (M) olunan dersler, not ortalamaları hesabına katılmaz.;DERS_SECIMI_MUAFIYET-MUAFIYET_MUAFIYET_ITIRAZ_BASVURUSU-BILGI;Muafiyet aldığım dersler AGNO'yu etkiler mi?;Muaf olduğum derslerin not ortalamasına etkisi var mıdır?;Muafiyetlerim genel not ortalamamı nasıl etkiler?;Muaf olduğum derslerin AGNO üzerinde bir etkisi olur mu?;AGNO hesaplamasında muaf dersler dikkate alınır mı?;Muafiyet alınan dersler not ortalamamı değiştirir mi?;Muaf derslerim AGNO hesaplamalarında yer alır mı?;Genel not ortalamasında muaf olduğum derslerin rolü nedir?;;;;;;;;;;;;
43;Tekrar aldığım derslerde AGNO hesaplanırken hangi başarı notu eklenir?;AGNO hesabında, tekrar edilen dersler için en son hesaplanan başarı notu dikkate alınır.;SINAV_HAKKINDA_BILGI-HARF_NOTU_SHB-BILGI;Tekrar edilen derslerde AGNO için hangi notlar kullanılır?;AGNO hesaplamasında tekrar alınan derslerin notları nasıl işlenir?;Birden fazla alınan derslerde en son alınan not mu AGNO'ya eklenir?;Tekrar kurslarında hangi not AGNO'ya dahil edilir?;AGNO hesaplaması için tekrar edilen derslerden hangi notlar alınır?;Tekrar alınan derslerde AGNO'ya hangi notlar yansıtılır?;Birden fazla kez alınan derslerde AGNO hesaplaması için not seçimi nasıl yapılır?;Ders tekrarlarında AGNO'ya etki eden not hangisi olur?;Birden fazla kez alınan derslerde AGNO nasıl hesaplanır?;;;;;;;;;;;
44;Ders materyallerimi görüntüleyemiyorum ne yapmalıyım?;"İlgili dönem için kaydını yapmış/yenilemiş öğrenciler ders materyallerini AKSİS, AUZEF Öğrenme Yönetim Sistemi alanından görüntülemektedir. Derslerin AUZEF Öğrenme Yönetim Sisteminde görüntülenebilmesi için «Kesin Kayıt» ta olması gerekmektedir. Ödeme yapılmaması ya da ödeme yapıldığı halde derslerin «Ders Danışman Onaylandı» veya «Danışman Onay Bekliyor» da kalması durumunda ders seçimi tamamlanmamıştır ve bu durumdaki öğrenciler ilgili dersi göremez ve dersin sınavına giremez. Her durumda ders materyallerini görüntüleyemeyen öğrencilerin ""https://auzefcozum.istanbul.edu.tr/"" buradan talep oluşturması gerekir.";DERS_MATERYALLERI-DERS_KITABI_EKSIKLIGI_GORUNTULEME_HATASI-DESTEK;Ders materyallerine erişim sorunu yaşarsam ne yapmalıyım?;Ders içeriklerini açamıyorum, çözüm yolu nedir?;Ders materyallerini görüntüleme problemi için hangi adımları izlemeliyim?;Ders dokümanlarını görememe durumunda ne yapılmalı?;Ders materyallerine erişememe sorunu için yardım nereden alınır?;Ders materyalleri görüntülenmiyor, bu durumda ne önerirsiniz?;Ders içeriklerine ulaşamıyorum, çözüm için önerileriniz nelerdir?;Ders materyallerini görüntüleme konusunda sorun yaşıyorum, nasıl ilerlemeliyim?;;;;;;;;;;;;
45;Hangi programların diplomaları Sağlık Bakanlığı tarafından tescillenmektedir?;Hemşirelik programının diplomaları Sağlık Bakanlığı tarafından tescillenmektedir. Diplomalar tescillenip hazır hale geldiğinde öğrencilere SMS ile bilgilendirme yapılır. Öğrencilerin diplomalarını kurumumuzdan temin etmeleri gerekmektedir.;MEZUNIYET_STAJ_YAZ_OKULU-MEZUNIYET_BILGILENDIRMESI-BILGI;Sağlık Bakanlığı tarafından tescil edilen programlar hangileridir?;Hangi eğitim programlarının diplomaları Sağlık Bakanlığı onaylıdır?;Sağlık Bakanlığı tescilli diplomalar hangi programlara aittir?;Sağlık Bakanlığı tarafından onaylanan akademik programlar nelerdir?;Sağlık Bakanlığı onayı gerektiren programlar hangileridir?;Sağlık Bakanlığından tescil alınması zorunlu olan programlar nelerdir?;Sağlık Bakanlığı tarafından tescilli diploma veren eğitim programları hangileridir?;Sağlık Bakanlığı onayı alan eğitim programları listesi nerede bulunabilir?;;;;;;;;;;;;
46;FF notum olmamasına rağmen AGNO notum 2.00 dan düşük olduğu için mezun olamıyorum ne yapmalıyım?; DD veya DC harf notlu(Koşullu Başarılı) derslerinizden sınava girerek AGNO notunuzu yükseltebilirsiniz.;MEZUNIYET_STAJ_YAZ_OKULU-MEZUNIYET_BILGILENDIRMESI-BILGI;AGNO 2.00 altında olduğunda mezuniyet için ne gibi adımlar atmalıyım?;AGNO yükseltme yolları nelerdir mezun olabilmek için?;2.00 AGNO barajını geçmek için önerileriniz nelerdir?;AGNO 2.00 altı mezuniyet sorunu için çözüm yolları nelerdir?;Mezun olabilmek için düşük AGNO'yu nasıl yükseltebilirim?;Düşük AGNO ile mezuniyet için ne yapabilirim?;AGNO'mu 2.00'a çekmek için hangi dersleri almalıyım?;AGNO 2.00 altında kaldığında mezuniyet için ne yapılmalı?;FF notum yok ama mezun olamıyorum;;;;;;;;;;;
47;Neden 86 TL fazla para ödüyorum?;"Öğrencilerden Alınacak Katkı Payları ve Öğrenim Ücretlerine ilişkin Cumhurbaşkanlığı Kararı gereği bir yüksek öğretim programında kayıtlı iken ikinci bir üniversite programına kayıt yaptırılması halinde 86 TL'lik katkı payı öğrencinin kendisi tarafından karşılanır. 
Fakültemiz Açık öğretim programlarında öğrenim gören, bütün dönemlerini tamamlayıp dönem uzatan veya alttan dersi kalan öğrencilerin harçlarına 86 TL yansıtılır. Ayrıca YÖK’ün 21/08/2015 tarihli 47944 sayılı yazısına ve 13/07/2016 tarihli duyurusuna istinaden Sağlık Alanında Lisans tamamlama programına kayıt yaptıran öğrencilerden 86 TL katkı payı alınır. (md. 6)";KAYIT_YENILEME_ODEME-ODEME_ISLEMLERI_KY-BILGI;86 TL ek ücretin sebebi nedir?;Ödediğim ekstra 86 TL'nin açıklaması ne olabilir?;86 TL fazladan ödeme yapmamın nedeni nedir?;Ekstra ödediğim 86 TL için hangi mali kalemler sorumlu olabilir?;Fazladan 86 TL ödeme nedenini nasıl öğrenebilirim?;Fazla ödenen 86 TL'nin gerekçesi ne olabilir?;86 TL ek ödeme yapmamın arkasında yatan sebep nedir?;Ekstra ödemem gereken 86 TL'nin nedeni ne olabilir?;"Harç ücretinde neden +86 gözüküyor  
";;;;;;;;;;;
48;Sağlıkta Lisans Tamamlama programında okuyorum neden 86 tl fazla ödüyorum?;YÖK’ün 21/08/2015 tarihli 47944 sayılı yazısına ve 13/07/2016 tarihli duyurusuna istinaden Sağlık Alanında Lisans Tamamlama programına kayıt yaptıran öğrencilerden 86 TL katkı payı alınır.;KAYIT_YENILEME_ODEME-ODEME_ISLEMLERI_KY-BILGI;Sağlıkta Lisans Tamamlama programında ekstra 86 TL ödemenin sebebi nedir?;Sağlıkta Lisans Tamamlama öğrencisiyken fazladan ödediğim 86 TL'nin açıklaması ne?;Sağlıkta Lisans Tamamlama programı için neden ek 86 TL ödemem gerekiyor?;Sağlıkta Lisans Tamamlama'da 86 TL ek ücretin gerekçesi ne olabilir?;Sağlıkta Lisans Tamamlama programında 86 TL fazla ödeme yapmamın nedenleri nelerdir?;Sağlıkta Lisans Tamamlama kursunda ekstra 86 TL ödeme sebebim nedir?;Sağlıkta Lisans Tamamlama'da ödediğim ek 86 TL'nin sebepleri neler olabilir?;Sağlık Lisans Tamamlama programında fazladan ödenen 86 TL'nin açıklanabilir bir nedeni var mı?;;;;;;;;;;;;
49;Öğrenci kimlik kartımı nasıl alabilirim?;"Fakültemizde basılı kimlik kartı verilmemektedir. 
Fakültemizin hedeflediği dijital dönüşüm süreçlerini geliştirmek adına İstanbul Üniversitesi Senatosu kararı ile öğrenci kimlik kartları dijitalleştirilip kare kodlanarak, doğrulanabilir hale getirilmiştir. 
Öğrenciler AKSİS ""AUZEF Öğrenme Yönetim Sistemi""  ""Dijital Kimliğim"" alanına tıklayarak QR kodlu kimliklerine ulaşabilir.";BELGE_TALEBI-OGRENCI_KIMLIK_KARTI-DESTEK;Öğrenci kimlik kartı alma süreci nasıl işler?;Öğrenci kimliğimi nereden ve nasıl temin edebilirim?;Öğrenci kimlik kartımı edinmek için ne yapmalıyım?;Öğrenci kimlik kartı elde etme adımları nelerdir?;Öğrenci kimlik kartımı almak için hangi işlemleri yapmam gerekiyor?;Öğrenci kartımı nasıl ve nereden alırım?;Öğrenci kimlik kartı edinme yöntemleri nelerdir?;"Üniversite öğrenci kartımı almak istiyorum  
";öğrenci kimlik kartı bastırmak istiyorum;;;;;;;;;;;
50;Çocuk Gelişimi ön lisans programından mezun oldum, AUZEF' te Çocuk Gelişimi lisans programı için lisans tamamlama yapabilir miyim?;Çocuk Gelişimi lisans programında lisans tamamlama yapmak isteyen ön lisans mezunu öğrencilerin, programa kayıt olmak için DGS’yle programa kayıt hakkı kazanmış olması gerekmektedir.;YENI_KAYIT-KAYIT_BILGILENDIRMESI-BILGI;Çocuk Gelişimi ön lisans mezunları AUZEF'te lisans tamamlama yapabilir mi?;Ön lisans Çocuk Gelişimi mezunları için AUZEF'teki lisans tamamlama şartları nelerdir?;Çocuk Gelişimi ön lisans mezunu olarak AUZEF lisans programına nasıl geçiş yapabilirim?;AUZEF'te Çocuk Gelişimi lisans tamamlama imkanı var mı ön lisans mezunları için?;Çocuk Gelişimi ön lisans mezunuyum, AUZEF'te lisansı tamamlayabilir miyim?;AUZEF Çocuk Gelişimi lisans tamamlama programına ön lisans mezunları katılabilir mi?;Ön lisans Çocuk Gelişimi bitiren biri olarak AUZEF'te lisans tamamlama şansım var mı?;Çocuk Gelişimi ön lisans mezunuysam AUZEF lisans tamamlama programına girebilir miyim?;;;;;;;;;;;;
51;Çocuk Gelişimi ön lisans programından mezun oldum, AUZEF' te Çocuk Gelişimi lisans programı okurken aldığım derslerden muaf olur muyum?;"Ders muafiyeti; Türk Dili, Yabancı Dil, Atatürk İlkeleri ve İnkılap Tarihi dersleri için uygulanır, daha önce öğrenim görülen yükseköğretim programlarında alınıp, başarılı olunan diğer dersler için muafiyet talebinde bulunulamaz.";YENI_KAYIT-KAYIT_BILGILENDIRMESI-BILGI;AUZEF Çocuk Gelişimi lisansında ön lisans derslerim için muafiyet alabilir miyim?;Çocuk Gelişimi ön lisans mezunu olarak lisans programındaki derslerden muafiyet şansım var mı?;Ön lisans programından mezun olarak lisans derslerinden muaf olma koşulları nelerdir?;Çocuk Gelişimi ön lisans derslerim, lisans programında geçerli olur mu?;Çocuk Gelişimi lisans programına geçişte ön lisans ders muafiyetleri nasıl işler?;AUZEF Çocuk Gelişimi lisans programında ön lisans derslerimden muafiyet alabilir miyim?;Ön lisans derslerimin AUZEF Çocuk Gelişimi lisans programında muafiyeti var mı?;Çocuk Gelişimi ön lisans mezunu olarak lisans programındaki hangi derslerden muaf olurum?;;;;;;;;;;;;
52;Referans numarama ve ödeme işlemlerime nereden ulaşabilirim?;"Referans numaranıza ve ödeme bilgilerinize ""aksis.istanbul.edu.tr""  ""Harç Bilgileri""  alanından ulaşabilirsiniz. Ödemeler Referans numarası ile Halk Bank Şube/ATM’lerinden ya da AKSİS sistemi üzerinden online yapılabilir. 
(Referans numarası olmadan Halk Bank Şube/ATM’lerinden ödeme yapılamaz)";KAYIT_YENILEME_ODEME-ODEME_ISLEMLERI_KY-DESTEK;Ödeme referans numaramı ve işlemlerimi nereden kontrol edebilirim?;Ödeme ve referans numarası bilgilerime erişim sağlama yöntemleri nelerdir?;Referans numaram ve ödeme detaylarıma nasıl ulaşırım?;Ödeme işlemlerim ve referans numarama ulaşmak için hangi adımları takip etmeliyim?;Referans numarası ve ödeme işlemlerine erişebileceğim platformlar nelerdir?;Ödeme işlemleri ve referans numarası sorgulama için nereye bakmalıyım?;Ödeme detaylarım ve referans numaram için hangi kaynakları kullanabilirim?;Referans numaram ve ödeme bilgilerime ulaşma yöntemi nedir?;"Harç ödeyemiyorum nasıl ödeyebilirim?  
";;;;;;;;;;;
53;Gazi, birinci dereceden şehit veya gazi yakınıyım ( Eş ve Çocuklar) ücret muafiyeti için fakülteye hangi evrakları göndermem gerekiyor?;"Gerekli Evraklar: 1- Hak Sahiplik Belgesi: Sosyal Güvenlik Kurumu Başkanlığı veya Sosyal Güvenlik İl Müdürlüklerinden temin edilecek ""Hak Sahiplik Belgesi"" aslı ya da E-Devlet'ten alınan elektronik imzalı hali (Resmi mühürle birlikte kurum yetkilisi tarafından imzalanmamış, şehit/gazinin kimlik bilgilerinin yer almadığı ve kanun kapsamı belirtilmemiş yazılar kabul edilmemektedir), 2- Vukuatlı Aile Nüfus Kayıt Örneği: Şehit/gazinin de kimlik bilgilerinin yer aldığı E-Devlet'ten alınan elektronik imzalı ya da Nüfus Müdürlüklerinden alınan evrak, 3- İndirim/Muafiyet Başvurusu İçin Dilekçe: Başvuran adayın kendisinin doldurduğu talebini belirten ıslak imzalı dilekçe. Ayrıntılı bilgi ve dilekçe örneğine ""https://auzef.istanbul.edu.tr/tr/content/tanimlar-kosullar/ozel-gereksinimli-ogrenciler"" buradan ulaşabilirsiniz.";YENI_KAYIT-EVRAK_ISLEMLERI-DESTEK;Şehit veya gazi yakınları için üniversite ücret muafiyeti başvurusunda gereken belgeler nelerdir?;Gazi ve şehit yakınları üniversite ücret muafiyeti için hangi belgeler lazım?;Ücret muafiyeti almak için gerekli evraklar nelerdir şehit ve gazi yakınları için?;Şehit ve gazi yakınlarının üniversite ücretinden muaf olması için sunması gereken belgeler hangileridir?;Üniversite ücret muafiyeti için şehit gazi yakınlarından istenen evraklar nelerdir?;Gazi ve şehit yakınları ücret muafiyeti için fakülteye hangi belgeleri göndermeli?;Şehit ve gazi yakınlarının üniversite ücret muafiyeti başvurusu için gerekli evraklar nelerdir?;Üniversite ücret muafiyeti için şehit ve gazi yakınları hangi evrakları temin etmeli?;gaziler için ücret muafiyeti nasıl gerçekleşir?;;;;;;;;;;;
54;Öğrenci otomasyon (AKSİS) sistemi nedir, hangi işlemleri bu sistem üzerinden gerkleştirebilirim?;"Öğrenci otomasyon (AKSİS) sistemi öğrencilerin aktif olarak kullanmak zorunda olduğu, kişisel kullanıcı adı(TC numarası) ve şifreleri ile giriş sağladıkları sistemdir. AKSİS otomasyon sisteminde öğrenciler aşağıdaki işlemleri gerçekleştirmektedir. -Ders alma, dönem dersleri ve hocalarının bilgilerini görüntüleme, -Sınav notları ve AGNO, ANO görüntüleme, -Belge talebi, e-imzalı belge talep ve temin etme, -Öğrenim durumlarını(statülerini) takip etme, -Harç bilgileri, kayıt ve kayıt yenileme dönemlerinde borçlandırma takibi ve kredi veya banka kartı ile ödeme işlemini gerçekleştirme, -Öğrenci Özlük bilgileri görüntüleme, -Staj, Kayıt dondurma/Sildirme vb öğrenci başvuru işlemleri."" https://aksis.istanbul.edu.tr""  https://aksis.istanbul.edu.tr";YENI_KAYIT-KAYIT_BILGILENDIRMESI-BILGI;AKSİS öğrenci otomasyon sistemi hakkında bilgi verir misiniz ve hangi işlemleri yapabilirim?;Öğrenci otomasyon sistemi AKSİS ile hangi işlemler gerçekleştirilebilir?;AKSİS sistemini kullanarak hangi öğrenci işlemlerini yapabilirim?;AKSİS öğrenci otomasyon sistemi kullanımı ve işlevleri nelerdir?;AKSİS sistemine nasıl erişirim ve hangi işlemleri yapabilirim?;Öğrenci otomasyon sistemi AKSİS üzerinden yapılabilecek işlemler nelerdir?;AKSİS ile hangi üniversite işlemleri gerçekleştirilebilir?;AKSİS öğrenci otomasyon sistemi ve erişilebilen öğrenci işlemleri hakkında bilgi verir misiniz?;;;;;;;;;;;;
55;AKSİS sisteminden hangi evrakları e imzalı alabilirim?;Öğrenci Belgesi (Türkçe/İngilizce), Transkript Belgesi(Türkçe/İngilizce), Disiplin Cezası Durum Belgesi , Diploma, Ders İçerik Belgesi, Öğrenci Kayıt Yenilemedi ve Öğrenci Durum belgeleri AKSİS' ten e-imzalı olarak alınabilmektedir.;BELGE_TALEBI-DIGER-DESTEK;AKSİS üzerinden e-imzalı hangi belgeleri temin edebilirim?;AKSİS'ten alınabilecek e-imzalı dokümanlar nelerdir?;E-imzalı belge alma işlemi AKSİS'te hangi evraklar için geçerlidir?;AKSİS üzerinden hangi belgeleri e-imzalı olarak indirebilirim?;AKSİS sisteminden temin edilebilecek e-imzalı evraklar hangileridir?;AKSİS'ten e-imzalı olarak hangi öğrenci belgeleri alınabilir?;E-imzalı belgeleri AKSİS sistemi üzerinden nasıl alırım ve hangi belgeler mevcut?;AKSİS sisteminden erişebileceğim e-imzalı dokümanlar nelerdir?;;;;;;;;;;;;
56;Hangi evrakları e-devlet sistemi üzerinden alabilirim?;E-devlet sisteminden Öğrenci Belgesi, Transkript Belgesi ve Mezuniyet Belgeleri alınabilmektedir.;BELGE_TALEBI-DIGER-DESTEK;E-devlet üzerinden hangi belgeleri temin edebilirim?;E-devlet sistemi aracılığıyla alınabilecek evraklar nelerdir?;E-devlet üzerinden erişilebilen belge türleri nelerdir?;E-devlet portalı üzerinden hangi dokümanları indirebilirim?;E-devlet sistemi kullanarak hangi evraklara ulaşabilirim?;E-devletten alabileceğim belge çeşitleri nelerdir?;E-devlet üzerinden hangi resmi belgeleri edinebilirim?;E-devlet portalından hangi evrakları temin etmek mümkündür?;E-devlet sisteminden Öğrenci Belgesi alınır mı?;;;;;;;;;;;
57;Açık öğretim ile uzaktan eğitim programları arasındaki fark nedir?;"Açık öğretim, derslerin bilgisayar vasıtasıyla tamamen sanal ortamda, katılımcının istediği zaman bunları tekrar tekrar izleyebileceği eğitim türüdür. 
Uzaktan Öğretim, derslerin bilgisayar vasıtasıyla tamamen sanal ortamda, canlı derslerle ve interaktif olarak  işlendiği, katılımcının istediği zaman bunları tekrar tekrar izleyebileceği eğitimin adıdır. (Ders hocaları internet üzerinden eş zamanlı ders vermektedir.)
Canlı derslerde devam zorunluluğu bulunmamaktadır.
Açık öğretim programlarında canlı ders bulunmamaktadır.
“AUZEF Uzaktan Eğitim Programlarına ÖSYM sınavları ile öğrenci alımı yapılmaktadır.”";YENI_KAYIT-KAYIT_BILGILENDIRMESI-BILGI;Açık öğretim ve uzaktan eğitim programları arasında ne gibi farklar vardır?;Açık öğretim ile uzaktan eğitim arasındaki temel farklar nelerdir?;Uzaktan eğitim ve açık öğretim programlarının farklı yönleri nelerdir?;Açık öğretim ile uzaktan eğitim sistemleri arasındaki ayrımlar nedir?;Uzaktan eğitim ile açık öğretim arasındaki özgül farklar nelerdir?;Açık öğretim ve uzaktan eğitim karşılaştırılması nasıl yapılır?;Açık öğretim ile uzaktan eğitim eğitim metotları arasında ne tür farklılıklar bulunmaktadır?;Açık öğretim ve uzaktan eğitim kursları arasındaki en belirgin farklar nelerdir?;;;;;;;;;;;;
58;AUZEF 'ten mezun olduğumda diplomamda “açık öğretim” ibaresi olacak mı?;"AUZEF diploma değerinin örgün programların diplomasından bir farkı yoktur; ancak fakülte adı kısmında, “Açık ve Uzaktan Eğitim Fakültesi” ibaresi yer alacaktır. ";MEZUNIYET_STAJ_YAZ_OKULU-MEZUNIYET_BILGILENDIRMESI-BILGI;AUZEF'ten mezuniyet sonrası diplomamda açık öğretim yazısı bulunacak mı?;AUZEF mezuniyeti sonucu alınan diplomada açık öğretim ifadesi yer alır mı?;AUZEF diplomalarında açık öğretim ibaresi mevcut mu?;Mezun olduğumda AUZEF diplomasında açık öğretim etiketi olacak mı?;AUZEF'ten alınan diploma üzerinde açık öğretim tanımı bulunur mu?;AUZEF mezuniyet belgesinde açık öğretim ifadesi yer alacak mı?;AUZEF diplomamda açık öğretim yazısı olup olmayacağını merak ediyorum?;AUZEF'ten aldığım diploma üzerinde açık öğretim kavramı geçer mi?;diplomamda fakülte adı kısmında, “Açık ve Uzaktan Eğitim Fakültesi yazacak mı?;;;;;;;;;;;
59;Diplomamın aynı adlı programın örgün eğitiminden mezun bir öğrencinin diplomasından ne farkı var?;Diplomanızla aynı programın örgün kısmından mezun olan öğrencilerle aynı haklara sahip olursunuz. Hukuki olarak hiçbir hak kaybı yaşamazsınız.;MEZUNIYET_STAJ_YAZ_OKULU-MEZUNIYET_BILGILENDIRMESI-BILGI;AUZEF ve örgün eğitim diplomaları arasındaki farklar nelerdir?;AUZEF ile örgün eğitimden alınan diploma arasında ne gibi ayrımlar vardır?;Aynı programın AUZEF ve örgün eğitim diplomaları arasında fark var mıdır?;AUZEF diploması ile örgün eğitim diplomasının farkları nelerdir?;Örgün eğitimle AUZEF mezuniyet belgesi arasında ne tür farklar bulunmakta?;AUZEF'ten ve örgün eğitimden mezun olunduğunda diploma farklılıkları nelerdir?;Aynı bölümün AUZEF ve örgün eğitim diploması arasında ne farklar vardır?;Örgün eğitim diploması ile AUZEF diploması arasındaki temel ayrımlar nedir?;;;;;;;;;;;;
60;Ders alma (Ders seçimi) nedir neden yapılır?;Ders alma, mezun olabilmek için gerekli kredi sayısını tamamlamak üzere ilgili (Güz, Bahar) dönemlerde yapılan ders seçimi işlemine denir. Güz dönemi dersleri güz döneminde, bahar dönemi dersleri bahar döneminde verilmektedir.;DERS_SECIMI_MUAFIYET-DERS_EKLE_SIL-BILGI;Ders seçimi süreci ve amacı nedir?;Ders alma işlemi ne anlama gelir ve neden önemlidir?;Ders seçimi yapmanın amacı ve süreç hakkında bilgi verir misiniz?;Ders alma ya da ders seçimi nedir ve bu işlem neden gerçekleştirilir?;Ders seçimi işleminin öğrenci eğitimindeki yeri ve önemi nedir?;Neden ders seçimi yapılır ve bu süreç nasıl işler?;Ders alma işlemi nedir ve öğrenciler neden ders seçimi yaparlar?;Ders seçiminin amacı nedir ve bu süreç nasıl yönetilir?;neden ders seçimi yapıyorum?;;;;;;;;;;;
61;Hangi durumlarda alttan ders alabilirim?;Öğrenciler, kalmış olduğu  (FF harf notlu) dersleri ve  koşullu geçmiş olduğu DC – DD harf notlu derslerini notunu yükseltmek için alabilir.  Bunun dışında olan dersler alttan alınamaz.;DERS_SECIMI_MUAFIYET-DERS_EKLE_SIL-BILGI;Alttan ders alma şartları nelerdir?;Ne zaman ve hangi koşullarda alttan ders alabilirim?;Alttan ders alabilme kriterleri nelerdir?;Başarısız olduğum dersleri ne zaman alttan alabilirim?;Alttan ders alma süreci nasıl işler ve gereklilikler nelerdir?;Alttan ders almanın koşulları nelerdir?;Hangi durumlarda ve nasıl alttan derslerimi alabilirim?;Alttan ders almanın şartları ve süreci nedir?;;;;;;;;;;;;
62;AUZEF öğrencisi olarak programımın örgün derslerine girebilir miyim?;AUZEF öğrencilerinin örgün derslerine katılım hakkı bulunmamaktadır.;YENI_KAYIT-KAYIT_BILGILENDIRMESI-BILGI;AUZEF öğrencisiyken örgün eğitim derslerine katılma imkanım var mı?;AUZEF öğrencisi olarak örgün derslere katılım sağlayabilir miyim?;AUZEF'te okurken örgün program derslerine giriş hakkım var mı?;AUZEF öğrencileri örgün derslere katılabilir mi?;AUZEF öğrencisiyim, örgün derslere nasıl katılabilirim?;AUZEF öğrencilerinin örgün eğitim derslerine erişimi mümkün müdür?;AUZEF'ten örgün eğitime ders dinlemek için geçiş yapabilir miyim?;AUZEF'te öğrenim gören bir öğrenci olarak örgün derslere girebilir miyim?;;;;;;;;;;;;
63;Hafta sonları Fakülte öğrencileri için takviye ders yapılıyor mu?; AUZEF' te hafta sonları ayrıca telafi dersleri yapılmamakta olup, kurumumuz sınavlar haricinde hafta sonları resmî tatildedir.;YENI_KAYIT-KAYIT_BILGILENDIRMESI-BILGI;Hafta sonları fakülte tarafından sunulan takviye dersler mevcut mu?;Fakülte öğrencileri için hafta sonu ek dersler düzenleniyor mu?;Hafta sonları öğrencilere yönelik takviye dersler yapılıyor mu?;Fakülte öğrencilerine hafta sonları ek ders imkanı sunuluyor mu?;Hafta sonu fakülte öğrencileri için takviye dersler var mı?;Fakülte tarafından hafta sonları öğrencilere ek dersler veriliyor mu?;Öğrenciler için hafta sonu takviye dersleri düzenlenmekte midir?;Hafta sonları fakülte öğrencilerine yönelik ek dersler sağlanıyor mu?;Cumartesi Pazar Fakülte öğrencileri için takviye ders yapılıyor mu?;;;;;;;;;;;
64;Lisans öğrencisiyim mezun olmam için hangi şartları sağlamalıyım?;Kayıtlı olduğu lisans programında en az 240 AKTS kredilik ders alıp tüm dersleri başarıyla tamamlayan, FF notu olmayan, AGNO’su en az 2,00 olan ve diğer yükümlülükleri yerine getiren öğrenciye, kayıtlı olduğu programın lisans diploması verilir;MEZUNIYET_STAJ_YAZ_OKULU-MEZUNIYET_BILGILENDIRMESI-BILGI;Lisans mezuniyeti için gerekli koşullar nelerdir?;Lisans programından mezun olabilmek için hangi şartları yerine getirmeliyim?;Mezuniyet için lisans öğrencileri ne yapmalı?;Lisans derecesi alabilmek için hangi kriterleri karşılamam gerekiyor?;Lisans programından mezun olmak için gerekli şartlar nedir?;Lisans öğrencisi olarak mezuniyet kriterleri nelerdir?;Lisans öğrencisiyken mezun olmak için ne gibi koşulları sağlamalıyım?;Lisans mezuniyet şartları nelerdir ve nasıl sağlanır?;;;;;;;;;;;;
65;"Lisans öğrencisiyim; ancak ön lisans diploması almak istiyorum diplomamı nasıl kırdırabilirim?";"Meslek yüksekokullarının öğretim planında gösterilen öğrenimi izleyerek derslerin tümünden başarılı olmuş, mezuniyet için gerekli en az 120 AKTS krediyi tamamlamış, AGNO’ su en az 2.00 düzeyinde olan ve ilgili birim tarafından belirlenen bütün çalışmaları tamamlamış öğrenci, koşullu başarılı dersleri olsa dahi öğrenimini bitirmiş sayılır ve ilgili birim yönetim kurulu tarafından mezuniyeti onaylanarak kendisine ilgili birimin ön lisans diploması verilir.
 Lisans öğrenimlerini tamamlamayan veya tamamlayamayan öğrencilere, 18/3/1989 tarihli ve 20112 sayılı Resmi Gazete’ de yayımlanan lisans öğrenimlerini tamamlamayan veya tamamlayamayanların ön lisans diploması almaları veya Meslek Yüksekokullarına İntibakları Hakkında Yönetmelik hükümlerine göre ön lisans diploması verilir. 
• Genel not ortalamasının en az 2,00 olması 
• İlk dört yarıyıldan en az 120 AKTS kredilik ders alınmış olması
 • Atatürk İlkeleri ve İnkılap Tarihi I-II, Yabancı Dil I-II ve Türk Dili I-II derslerinin almış ve derslerden geçilmiş olması gerekmektedir.
Diploma kırdırmak isteyen öğrencilerin fakülteye ıslak imzalı dilekçe ile başvurması gerekmektedir.
Diploma kırdıran öğrenciler diploma kırdırdıkları programda öğrenimlerine devam edemez. Programla ilgili tüm hakları diploma kırdırma ile sona erer.
Alınacak olan diplomada ""Bu diploma alan belirtmemekte sadece ön lisans derecesini belgelemektedir."" ibaresi yer almaktadır";MEZUNIYET_STAJ_YAZ_OKULU-MEZUNIYET_BILGILENDIRMESI-BILGI;Lisans eğitimi alırken ön lisans diploması nasıl alınır?;Lisans öğrencisi olarak ön lisans derecesi alma nasıl olur?;Lisans öğrencisiyken ön lisans diploma işlemi için ne yapmalıyım?;Lisans eğitimim devam ederken ön lisans diplomasını nasıl elde edebilirim?;Ön lisans diploması alabilmek için lisans öğrencisi ne yapmalı?;Lisans öğrencisi olarak ön lisans derecesini alma k istiyorum?;Lisans öğrencisiyken ön lisans diploması almak için ne yapmalı?;Lisans eğitimine devam ederken ön lisans mezuniyeti için ne yapmalıyım?;;;;;;;;;;;;
